PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39792265,[Treatment of severe flares in Crohn's disease and ulcerative colitis].,2025-01-10,Schmidt C,"Medizinische Klinik II, Gastroenterologie, Hepatologie, Endokrinologie, Diabetologie und Infektiologie, Klinikum Fulda AG, Universitatsmedizin Marburg - Campus Fulda, Fulda, Deutschland.","Klinik fur Innere Medizin IV (Gastroenterologie, Hepatologie und Infektiologie), Universitatsklinikum Jena, Am Klinikum 1, 07747, Jena, Deutschland. andreas.stallmach@med.uni-jena.de."
39790480,Proenkephalin A 119-159 (penKid) and mortality in stable patients at high cardiovascular risk.,2024-01-01,Hartmann O; Lobo de Sa FD,"SphingoTec GmbH, Hennigsdorf, Germany.",Not available
39789976,"Treatment of metastatic urothelial carcinoma in the United Kingdom, France, Germany, Italy, and Spain.",2025-01-10,Hasaligil A; Munro V; Strunz-McKendry T; Wang-Silvanto J,"Astellas Pharma Europe Ltd., Addlestone, UK.",Not available
39789734,Determination of the Bioavailability of 3 Intranasal Formulations of Azelastine Hydrochloride in Healthy Male Volunteers.,2025-01-09,Canonica GW,"Mylan Pharmaceuticals Private Limited (Now Viatris), Bengaluru, India.",Not available
39789408,Continued Treatment with Nintedanib in Patients with Progressive Pulmonary Fibrosis: Data from INBUILD-ON.,2025-01-09,Miede C; Dumistracel M; Coeck C,"Boehringer Ingelheim Pharma GmbH & Co. KG, Ingelheim am Rhein, Germany.; Boehringer Ingelheim SComm., Brussels, Belgium.; mainanalytics GmbH, Sulzbach (Taunus), Germany.","Unit for Interstitial Lung Diseases, Department of Pulmonary Medicine, University Hospitals Leuven, Leuven, Belgium. wim.wuyts@uzleuven.be."
39789153,Alkaline phosphatase decline and pain response as predictors of overall survival benefit in patients treated with radium-223: a post hoc analysis of the REASSURE study.,2025-01-09,Tombal B; Sandstrom P,"Bayer A/S, Copenhagen, Denmark.; Cliniques Universitaires Saint Luc, Brussels, Belgium.","Patrick G. Johnston Centre for Cancer Research, Queen's University Belfast and Northern Ireland Cancer Centre, Belfast, UK. joe.osullivan@qub.ac.uk."
39788967,Neoadjuvant or concurrent atezolizumab with chemoradiation for locally advanced cervical cancer: a randomized phase I trial.,2025-01-09,Banbury B; Sherry N,"Adaptive Biotechnologies Corp, Seattle, USA.","University of California San Diego, San Diego, USA. jmayadev@health.ucsd.edu."
39788817,Deep learning model to identify and validate hypotension endotypes in surgical and critically ill patients.,2025-01-08,Jian Z; Liu X; Settels JJ; Scheeren TWL; Hatib F,"Edwards Lifesciences, Irvine, CA, USA.",Not available
39787635,Identification of key gene signatures for predicting chemo-immunotherapy efficacy in extensive-stage small-cell lung cancer using machine learning.,2025-01-02,Kimura K,"AOI Biosciences Inc., Tokyo, Japan.","Department of Respiratory Medicine and Hematology, Hyogo Medical University, Nishinomiya, Japan. Electronic address: da-fujimoto@hyo-med.ac.jp."
39787603,"A New Way Forward for Women's Health Research at the National Institutes of Health: A Roadmap From the National Academies of Sciences, Engineering, and Medicine's Consensus Report.",2025-01-09,Debbink MP,"Department of Obstetrics and Gynecology, Spencer Fox Eccles School of Medicine, University of Utah Health, Salt Lake City, Utah; KFF, San Francisco, California; and the Department of Obstetrics and Gynecology, Duke Cancer Institute, Duke School of Medicine, Durham, North Carolina. All authors served on the National Academies Committee as committee members or employees of the National Academies.; the Department of Obstetrics and Gynecology, Warren Alpert Medical School at Brown University, and Women and Infants Hospital of Rhode Island, Providence, Rhode Island; the National Academies of Sciences, Engineering, and Medicine, and Baker Donelson, Washington, DC",Not available
39787298,Sulfilimines from a Medicinal Chemist's Perspective: Physicochemical and in Vitro Parameters Relevant for Drug Discovery.,2025-01-09,Gnamm C,"Boehringer Ingelheim Pharma GmbH & Co. KG, Birkendorfer Strasse 65, 88397 Biberach an der Riss, Germany.",Not available
39787174,Clinical control in COPD and therapeutic implications: The EPOCONSUL audit.,2025-01-01,Fuentes Ferrer ME,"CIBER de Enfermedades Respiratorias (CIBERES), Instituto de Salud Carlos III, Madrid, Spain.",Not available
39786401,"OBI-992, a Novel TROP2-Targeted Antibody-Drug Conjugate, Demonstrates Antitumor Activity in Multiple Cancer Models.",2024-12-30,Li WF; Chiang MF; Weng HC; Yang JJ; Wu HS; Wu SY; Chen YJ; Lu CH; Tu JS; Hsu RY; Shia CS; Huang TY; Lai MT,"OBI Pharma, Inc., Taipei, Taiwan.",Not available
39785810,Biomarkers.,2024-01-01,Snellman A; Borroni E; Quijano-Rubio C; Fauria K,"Centro de Investigacion Biomedica en Red Bioingenieria, Biomateriales y Nanomedicina (CIBER-BBN), Instituto de Salud Carlos III, Madrid, Spain.; Centro de Investigacion Biomedica en Red de Bioingenieria, Biomateriales y Nanomedicina (CIBER-BBN), Madrid, Spain.; Centro de Investigacion Biomedica en Red de Fragilidad y Envejecimiento Saludable (CIBERFES), Instituto de Salud Carlos III, Madrid, Spain.",Not available
39785718,Are Exposure Recommendations for QT Evaluation Being Fulfilled?,2025-01-09,Narukawa M,"Meiji Seika Pharma Co., Ltd., 2-4-16 Kyobashi, Chuo-ku, Tokyo, Japan.",Not available
39785562,Occurrence analysis of alpha-mangostin from different organs of Garcinia mangostana L.,2025-01-09,Taher M,"IKOP Pharma (IKOP Sdn. Bhd.), Jalan Sultan Ahmad Shah, Kuantan, Pahang, Malaysia.",Not available
39785474,Biomarkers.,2024-01-01,Puskas LG,"Aperus Pharma, Szeged, Hungary.",Not available
39785173,Public Health.,2024-01-01,Suarez-Calvet M; Mueggler T; Blennow K; Iranzo A,"Centro de Investigacion Biomedica en Red de Fragilidad y Envejecimiento Saludable (CIBERFES), Instituto de Salud Carlos III, Madrid, Spain.; Centro de Investigacion Biomedica en Red de Fragilidad y Envejecimiento Saludable (CIBERFES), Madrid, Spain.",Not available
39783852,A Comparative Analysis of the Pharmacodynamic and Pharmacokinetic Properties of 2 Controlled-Release Formulations Versus a Marketed Orlistat Product.,2025-01-09,Gruden S,"Empros Pharma AB, Solna, Sweden.",Not available
39783748,Developing Topics.,2024-01-01,Arbelaez MJ; Gutierrez E; Venegas M; Tangarife MA; Sanchez LT; Shahnawaz S; De Jesus WJ; Pujals KY; Grimaldi C; Rao JS; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39783700,Developing Topics.,2024-01-01,Yang T; Kollmorgen G; Wild N; Simmons C; Varda T,"Product Development Data Sciences, F. Hoffmann-La Roche Ltd, Mississauga, ON, Canada.; Product Development Safety Risk Management, F. Hoffmann-La Roche Ltd, Basel, Switzerland.; Product Development Safety Risk Management, F. Hoffmann-La Roche Ltd, Roche China Holding, Beijing, China.; Roche Diagnostics GmbH, Penzberg, Germany.",Not available
39783694,Developing Topics.,2024-01-01,Delgado-Murillo L; Tangarife MA; Gutierrez E; Camargo F; Naranjo MP; Venegas MM; Sanchez LT; Arbelaez MJ; Shahnawaz S; Ghazaryan V; De Jesus WJ; Grimaldi C; Rao JS; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39783648,Editorial Comment.,2025-01-01,Schoenberg M,"UroGen Pharma, Princeton, New Jersey.",Not available
39783576,Developing Topics.,2024-01-01,Ge T,"Biogen, Cambridge, MA, USA.",Not available
39783522,Developing Topics.,2024-01-01,Baudler M; Bateman RJ,"F. Hoffmann-La Roche Ltd, Basel, Switzerland.; F. Hoffmann-La Roche Ltd., Pharma Development Safety Risk Management, Basel, Switzerland.",Not available
39783445,Developing Topics.,2024-01-01,Hofmann C; Wojtowicz J,"F. Hoffmann-La Roche Ltd., Pharma Development Safety Risk Management, Basel, Switzerland.",Not available
39783396,Developing Topics.,2024-01-01,Venegas M; Tangarife MA; Delgado-Murillo L; Gutierrez E; Naranjo MP; Rao JS; Shahnawaz S; Sanchez LT; Ghazaryan V; Camargo F; De Jesus WJ; Grimaldi C; Mukunda R; Arbelaez MJ,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Bogota, Bogota, Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39783364,Developing Topics.,2024-01-01,Gutierrez E; Tangarife MA; Rao JS; Venegas M; Arbelaez MJ; Sanchez LT; De Jesus WJ; Pujals KY; Grimaldi C; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
39783328,Developing Topics.,2024-01-01,Sulvaran MA; Arbelaez MJ; Gutierrez E; Tangarife MA; Rao JS; Venegas M; Sanchez LT; Shahnawaz S; De Jesus WJ; Pujals KY; Grimaldi C; Mukunda R,"IGC Pharma, Bogota, Bogota D.C., Colombia.; IGC Pharma, Potomac, MD, USA.; Santa Cruz Behavioral, Bayamon, PR, USA.",Not available
